Périmètre	Nature	Date	Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Bioénergies	Ech. physiques	Taux de Co2	Ech. comm. Angleterre	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse	Ech. comm. Allemagne-Belgique	Fioul - TAC	Fioul - Cogén.	Fioul - Autres	Gaz - TAC	Gaz - Cogén.	Gaz - CCG	Gaz - Autres	Hydraulique - Fil de l?eau + éclusée	Hydraulique - Lacs	Hydraulique - STEP turbinage	Bioénergies - Déchets	Bioénergies - Biomasse	Bioénergies - Biogaz	 Stockage batterie	Déstockage batterie	Eolien terrestre	Eolien offshore	Consommation corrigée
France	Données temps réel	2025-08-05	00:00	40641	41000	40900	71	0	767	39885	4701	0	4776	-1	946	-10479	17	306	-2775	-1852	-2600	-4369	1	70	0	0	256	513	0	2950	1003	822	394	248	304	-25	1	3668	1033	ND	
France	Données temps réel	2025-08-05	00:15	40066	39850	39850	71	0	766	39651	4793	0	4893	0	947	-11068	17	306	-2775	-1854	-2600	-4469	1	70	0	0	255	512	0	2989	901	1002	398	245	304	-3	17	3728	1065	ND	
France	Données temps réel	2025-08-05	00:30	38486	38700	38800	71	0	738	38774	4792	0	4734	-1	945	-11575	17	306	-2775	-1854	-2600	-4834	1	70	0	0	256	483	0	2996	899	839	392	248	304	0	10	3741	1051	ND	
France	Données temps réel	2025-08-05	00:45	37001	37950	37850	71	0	663	38222	4326	0	4684	-51	946	-11828	16	306	-2775	-1854	-2600	-4966	1	70	0	0	255	409	0	2972	875	836	394	248	304	-30	0	3347	979	ND	
France	Données temps réel	2025-08-05	01:00	36488	37200	36900	71	0	678	38854	3154	0	4398	-53	947	-11581	17	641	-2775	-1854	-2600	-3779	1	70	0	0	255	423	0	2909	938	550	394	249	304	0	21	2260	894	ND	
France	Données temps réel	2025-08-05	01:15	36737	37250	37200	71	0	686	38515	2953	0	4343	-52	943	-10718	17	641	-2775	-1854	-2600	-3825	1	70	0	0	257	430	0	2875	902	566	394	246	304	-5	2	2101	851	ND	
France	Données temps réel	2025-08-05	01:30	36047	37300	37500	71	0	685	38580	2920	0	4089	-234	945	-11013	17	641	-2775	-1854	-2600	-3917	1	70	0	0	257	429	0	2834	724	530	394	247	304	0	3	2113	807	ND	
France	Données temps réel	2025-08-05	01:45	36111	37150	37000	71	0	681	38589	2898	0	4086	-231	944	-10927	17	641	-2720	-1854	-2600	-4150	1	70	0	0	257	424	0	2790	725	572	395	245	304	0	2	2097	800	ND	
France	Données temps réel	2025-08-05	02:00	35711	37000	36500	71	0	677	38345	2864	0	4049	-234	950	-11012	17	1071	-2633	-1854	-2560	-3865	1	70	0	0	257	421	0	2800	717	532	398	248	304	-1	2	2044	819	ND	
France	Données temps réel	2025-08-05	02:15	35820	36200	35800	71	0	465	37964	2906	0	4111	-272	944	-10369	15	1071	-2715	-1854	-2600	-3923	1	70	0	0	257	209	0	2801	783	527	397	243	304	-1	1	1995	911	ND	
France	Données temps réel	2025-08-05	02:30	34897	35400	35100	71	0	369	37746	2817	0	4082	-572	941	-10548	15	1071	-2774	-1854	-2600	-4371	1	70	0	0	257	112	0	2795	757	531	394	243	304	-10	1	1914	904	ND	
France	Données temps réel	2025-08-05	02:45	34411	34850	34600	71	0	447	37834	2830	0	3573	-571	940	-10705	15	1071	-2775	-1854	-2600	-4567	1	70	0	0	258	190	0	2789	770	14	395	241	304	-8	1	1946	883	ND	
France	Données temps réel	2025-08-05	03:00	33755	34300	34100	71	0	462	37701	2781	0	3584	-573	945	-11205	16	1530	-2775	-1922	-2600	-4650	1	70	0	0	258	206	0	2800	771	13	398	243	304	-11	1	1881	900	ND	
France	Données temps réel	2025-08-05	03:15	33487	34000	33800	71	0	436	37899	2756	0	3562	-990	949	-11185	15	1530	-2775	-1922	-2600	-4821	1	70	0	0	258	179	0	2813	735	14	401	244	304	-9	0	1897	858	ND	
France	Données temps réel	2025-08-05	03:30	33186	33700	33500	71	0	465	38016	2679	0	3555	-996	945	-11544	16	1530	-2775	-1922	-2600	-5068	1	70	0	0	258	208	0	2804	737	13	398	243	304	-3	0	1988	691	ND	
France	Données temps réel	2025-08-05	03:45	32806	33450	33200	71	0	464	38252	2401	0	3542	-1201	952	-11666	16	1530	-2775	-1922	-2600	-5154	1	70	0	0	258	207	0	2797	733	13	399	250	304	-10	0	1926	474	ND	
France	Données temps réel	2025-08-05	04:00	32597	33200	32900	71	0	464	38015	2310	0	3542	-1197	948	-11554	16	1713	-2775	-1922	-2600	-4827	1	70	0	0	258	207	0	2787	741	14	399	245	304	-3	2	1902	407	ND	
France	Données temps réel	2025-08-05	04:15	32518	33150	32750	71	0	465	37906	2078	0	3436	-1201	949	-11177	16	1713	-2775	-1922	-2600	-5154	1	70	0	0	258	208	0	2689	734	13	399	246	304	-8	0	1879	199	ND	
France	Données temps réel	2025-08-05	04:30	32426	33100	32600	71	0	463	38066	2113	0	3429	-1202	948	-11456	16	1713	-2773	-1922	-2580	-5208	1	70	0	0	259	205	0	2696	718	15	399	246	304	-5	0	1917	196	ND	
France	Données temps réel	2025-08-05	04:45	32373	33100	32600	71	0	464	38193	2067	0	3436	-1199	949	-11607	16	1713	-2775	-1922	-2600	-5246	1	70	0	0	258	207	0	2709	714	13	401	244	304	-4	4	1883	184	ND	
France	Données temps réel	2025-08-05	05:00	32606	33100	32600	71	0	464	37953	2104	0	3452	-1201	950	-11182	16	1851	-2775	-1922	-2600	-4798	1	70	0	0	258	207	0	2714	724	14	400	247	304	-5	0	1907	197	ND	
France	Données temps réel	2025-08-05	05:15	32961	33650	33000	71	0	465	37740	2410	0	3458	-996	948	-11131	16	1851	-2775	-1922	-2600	-4765	1	70	0	0	258	209	0	2722	721	15	398	246	304	-4	1	1836	574	ND	
France	Données temps réel	2025-08-05	05:30	33149	34200	33400	71	0	471	37786	2356	0	3473	-996	949	-10956	16	1851	-2655	-1922	-2600	-4864	1	70	0	0	260	213	0	2737	724	13	397	248	304	-6	1	1767	589	ND	
France	Données temps réel	2025-08-05	05:45	33421	34700	33750	71	0	478	37837	2450	0	3481	-997	948	-10842	16	1851	-2655	-1922	-2600	-4944	1	70	0	0	259	220	0	2743	725	13	396	248	304	-6	1	1897	553	ND	
France	Données temps réel	2025-08-05	06:00	34083	35200	34100	71	0	410	37829	2418	244	3508	-999	949	-10339	15	1582	-2729	-1922	-2600	-4376	1	70	0	0	259	152	0	2767	727	14	399	246	304	-9	1	1855	563	ND	
