Périmètre	Nature	Date	Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Bioénergies	Ech. physiques	Taux de Co2	Ech. comm. Angleterre	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse	Ech. comm. Allemagne-Belgique	Fioul - TAC	Fioul - Cogén.	Fioul - Autres	Gaz - TAC	Gaz - Cogén.	Gaz - CCG	Gaz - Autres	Hydraulique - Fil de l?eau + éclusée	Hydraulique - Lacs	Hydraulique - STEP turbinage	Bioénergies - Déchets	Bioénergies - Biomasse	Bioénergies - Biogaz	 Stockage batterie	Déstockage batterie	Eolien terrestre	Eolien offshore	Consommation corrigée
France	Données temps réel	2025-12-03	00:00	58811	60700	60700	71	493	4485	52354	3996	0	9321	-11	1036	-12919	41	-2889	-60	-3936	-3200	-2585	1	70	0	0	1428	3058	0	5662	3247	412	365	370	301	-15	0	3558	438	ND	
France	Données temps réel	2025-12-03	00:15	59012	59700	59700	70	537	4680	52298	3882	0	9409	-11	1045	-12952	43	-2889	433	-3936	-3200	-3000	0	70	0	0	1423	3259	0	5695	3285	430	374	370	301	0	55	3449	433	ND	
France	Données temps réel	2025-12-03	00:30	57652	58700	58700	71	554	4393	52488	3758	0	8986	-247	1048	-13407	42	-2889	-68	-3936	-3200	-3118	1	70	0	0	1430	2965	0	5636	2981	369	377	370	301	-1	9	3291	467	ND	
France	Données temps réel	2025-12-03	00:45	56461	57700	57700	70	563	4025	52370	3638	0	8747	-236	1037	-13786	40	-2889	-131	-3936	-3200	-3105	0	70	0	0	1426	2601	0	5525	2877	344	366	370	301	-18	51	3237	401	ND	
France	Données temps réel	2025-12-03	01:00	55726	56700	56700	70	492	3372	52243	3385	0	8544	-237	1040	-13222	36	-3278	620	-3936	-3200	-2767	0	70	0	0	1426	1948	0	5491	2739	314	369	370	301	-14	52	3054	331	ND	
France	Données temps réel	2025-12-03	01:15	55837	57000	57000	71	579	3344	52387	3223	0	8559	-234	1043	-13153	37	-3278	293	-3936	-3200	-2800	1	70	0	0	1423	1923	0	5477	2764	318	372	370	301	-1	17	2864	359	ND	
France	Données temps réel	2025-12-03	01:30	55257	57300	57300	69	575	3220	52414	3247	0	8373	0	1045	-13684	36	-3278	418	-3936	-3200	-2753	0	70	0	0	1422	1799	0	5445	2594	333	375	370	301	-18	17	2843	404	ND	
France	Données temps réel	2025-12-03	01:45	55112	56750	56750	71	569	3220	52459	3073	0	8380	0	1043	-13717	36	-3278	458	-3936	-3200	-2734	1	70	0	0	1423	1799	0	5427	2618	335	372	370	301	-2	17	2677	396	ND	
France	Données temps réel	2025-12-03	02:00	54608	56200	56200	70	540	2974	52390	2937	0	8224	-2	1046	-13578	35	-3278	556	-3936	-3200	-2630	0	70	0	0	1423	1553	0	5394	2519	310	375	370	301	-10	17	2517	420	ND	
France	Données temps réel	2025-12-03	02:15	54718	55600	55600	70	501	3123	52387	2817	0	8167	-82	1046	-13279	35	-3278	544	-3936	-3200	-2601	0	70	0	0	1423	1701	0	5345	2502	320	375	370	301	-31	0	2422	395	ND	
