Date;Filière;Valeur
2014/01/01;"Température réalisée (°C)";8,17
2014/01/02;"Température réalisée (°C)";9,63
2014/01/03;"Température réalisée (°C)";9,88
2014/01/04;"Température réalisée (°C)";8,95
2014/01/05;"Température réalisée (°C)";7,21
2014/01/06;"Température réalisée (°C)";10,19
2014/01/07;"Température réalisée (°C)";10,75
2014/01/08;"Température réalisée (°C)";10,52
2014/01/09;"Température réalisée (°C)";9,88
2014/01/10;"Température réalisée (°C)";6,9
2014/01/11;"Température réalisée (°C)";7,43
2014/01/12;"Température réalisée (°C)";6,56
2014/01/13;"Température réalisée (°C)";7,66
2014/01/14;"Température réalisée (°C)";5,66
2014/01/15;"Température réalisée (°C)";6,23
2014/01/16;"Température réalisée (°C)";8,15
2014/01/17;"Température réalisée (°C)";7,66
2014/01/18;"Température réalisée (°C)";7,12
2014/01/19;"Température réalisée (°C)";6,66
2014/01/20;"Température réalisée (°C)";5,39
2014/01/21;"Température réalisée (°C)";4,39
2014/01/22;"Température réalisée (°C)";4,26
2014/01/23;"Température réalisée (°C)";6,19
2014/01/24;"Température réalisée (°C)";6,23
2014/01/25;"Température réalisée (°C)";6,21
2014/01/26;"Température réalisée (°C)";7,84
2014/01/27;"Température réalisée (°C)";5,62
2014/01/28;"Température réalisée (°C)";4,8
2014/01/29;"Température réalisée (°C)";4,58
2014/01/30;"Température réalisée (°C)";4,84
2014/01/31;"Température réalisée (°C)";4,61
2014/02/01;"Température réalisée (°C)";6,28
2014/02/02;"Température réalisée (°C)";5,11
2014/02/03;"Température réalisée (°C)";4,78
2014/02/04;"Température réalisée (°C)";6,45
2014/02/05;"Température réalisée (°C)";7,38
2014/02/06;"Température réalisée (°C)";8,07
2014/02/07;"Température réalisée (°C)";9,09
2014/02/08;"Température réalisée (°C)";7,1
2014/02/09;"Température réalisée (°C)";6,42
2014/02/10;"Température réalisée (°C)";6,58
2014/02/11;"Température réalisée (°C)";5,89
2014/02/12;"Température réalisée (°C)";6,6
2014/02/13;"Température réalisée (°C)";7,24
2014/02/14;"Température réalisée (°C)";8,3
2014/02/15;"Température réalisée (°C)";9,55
2014/02/16;"Température réalisée (°C)";7,34
2014/02/17;"Température réalisée (°C)";6,96
2014/02/18;"Température réalisée (°C)";7,5
2014/02/19;"Température réalisée (°C)";8,8
2014/02/20;"Température réalisée (°C)";9,52
2014/02/21;"Température réalisée (°C)";7,46
2014/02/22;"Température réalisée (°C)";7,12
2014/02/23;"Température réalisée (°C)";8,35
2014/02/24;"Température réalisée (°C)";9,27
2014/02/25;"Température réalisée (°C)";8,64
2014/02/26;"Température réalisée (°C)";6,75
2014/02/27;"Température réalisée (°C)";6,47
2014/02/28;"Température réalisée (°C)";6,24
2014/03/01;"Température réalisée (°C)";5,83
2014/03/02;"Température réalisée (°C)";5,95
2014/03/03;"Température réalisée (°C)";6,25
2014/03/04;"Température réalisée (°C)";6,81
2014/03/05;"Température réalisée (°C)";7,59
2014/03/06;"Température réalisée (°C)";8,03
2014/03/07;"Température réalisée (°C)";8,43
2014/03/08;"Température réalisée (°C)";10,39
2014/03/09;"Température réalisée (°C)";11,83
2014/03/10;"Température réalisée (°C)";10,98
2014/03/11;"Température réalisée (°C)";10,09
2014/03/12;"Température réalisée (°C)";10,34
2014/03/13;"Température réalisée (°C)";10,31
2014/03/14;"Température réalisée (°C)";10,62
2014/03/15;"Température réalisée (°C)";9,99
2014/03/16;"Température réalisée (°C)";11,28
2014/03/17;"Température réalisée (°C)";10,43
2014/03/18;"Température réalisée (°C)";10,46
2014/03/19;"Température réalisée (°C)";11,27
2014/03/20;"Température réalisée (°C)";12,05
2014/03/21;"Température réalisée (°C)";11,46
2014/03/22;"Température réalisée (°C)";8,91
2014/03/23;"Température réalisée (°C)";6,45
2014/03/24;"Température réalisée (°C)";6,45
2014/03/25;"Température réalisée (°C)";6,92
2014/03/26;"Température réalisée (°C)";7,1
2014/03/27;"Température réalisée (°C)";6,77
2014/03/28;"Température réalisée (°C)";9,31
2014/03/29;"Température réalisée (°C)";12,47
2014/03/30;"Température réalisée (°C)";13,4
2014/03/31;"Température réalisée (°C)";13,07
2014/11/01;"Température réalisée (°C)";14,31
2014/11/02;"Température réalisée (°C)";14,1
2014/11/03;"Température réalisée (°C)";13,2
2014/11/04;"Température réalisée (°C)";10,66
2014/11/05;"Température réalisée (°C)";8,47
2014/11/06;"Température réalisée (°C)";7,99
2014/11/07;"Température réalisée (°C)";9,7
2014/11/08;"Température réalisée (°C)";10,28
2014/11/09;"Température réalisée (°C)";9,93
2014/11/10;"Température réalisée (°C)";9,33
2014/11/11;"Température réalisée (°C)";10,81
2014/11/12;"Température réalisée (°C)";10,86
2014/11/13;"Température réalisée (°C)";10,43
2014/11/14;"Température réalisée (°C)";10,94
2014/11/15;"Température réalisée (°C)";10,38
2014/11/16;"Température réalisée (°C)";9,24
2014/11/17;"Température réalisée (°C)";8,76
2014/11/18;"Température réalisée (°C)";8,87
2014/11/19;"Température réalisée (°C)";7,94
2014/11/20;"Température réalisée (°C)";8,87
2014/11/21;"Température réalisée (°C)";10,34
2014/11/22;"Température réalisée (°C)";11,9
2014/11/23;"Température réalisée (°C)";12,81
2014/11/24;"Température réalisée (°C)";11,77
2014/11/25;"Température réalisée (°C)";11,02
2014/11/26;"Température réalisée (°C)";11,19
2014/11/27;"Température réalisée (°C)";10,57
2014/11/28;"Température réalisée (°C)";12,49
2014/11/29;"Température réalisée (°C)";10,82
2014/11/30;"Température réalisée (°C)";8,27
2014/12/01;"Température réalisée (°C)";6,35
2014/12/02;"Température réalisée (°C)";5,2
2014/12/03;"Température réalisée (°C)";4,57
2014/12/04;"Température réalisée (°C)";4,59
2014/12/05;"Température réalisée (°C)";5,41
2014/12/06;"Température réalisée (°C)";5,1
2014/12/07;"Température réalisée (°C)";4,96
2014/12/08;"Température réalisée (°C)";5,61
2014/12/09;"Température réalisée (°C)";4,28
2014/12/10;"Température réalisée (°C)";6,29
2014/12/11;"Température réalisée (°C)";7,97
2014/12/12;"Température réalisée (°C)";8,3
2014/12/13;"Température réalisée (°C)";7,3
2014/12/14;"Température réalisée (°C)";5,67
2014/12/15;"Température réalisée (°C)";6,76
2014/12/16;"Température réalisée (°C)";7,79
2014/12/17;"Température réalisée (°C)";8,82
2014/12/18;"Température réalisée (°C)";11,39
2014/12/19;"Température réalisée (°C)";10,59
2014/12/20;"Température réalisée (°C)";8,61
2014/12/21;"Température réalisée (°C)";7,28
2014/12/22;"Température réalisée (°C)";7,12
2014/12/23;"Température réalisée (°C)";6,32
2014/12/24;"Température réalisée (°C)";7,38
2014/12/25;"Température réalisée (°C)";6,82
2014/12/26;"Température réalisée (°C)";4,67
2014/12/27;"Température réalisée (°C)";5,53
2014/12/28;"Température réalisée (°C)";1,37
2014/12/29;"Température réalisée (°C)";-0,49
2014/12/30;"Température réalisée (°C)";1,56
2014/12/31;"Température réalisée (°C)";1,84
2015/01/01;"Température réalisée (°C)";1,46
2015/01/02;"Température réalisée (°C)";4,66
2015/01/03;"Température réalisée (°C)";7,84
2015/01/04;"Température réalisée (°C)";7,57
2015/01/05;"Température réalisée (°C)";3,14
2015/01/06;"Température réalisée (°C)";2,86
2015/01/07;"Température réalisée (°C)";4,32
2015/01/08;"Température réalisée (°C)";7,78
2015/01/09;"Température réalisée (°C)";10,24
2015/01/10;"Température réalisée (°C)";11,63
2015/01/11;"Température réalisée (°C)";7,39
2015/01/12;"Température réalisée (°C)";6,67
2015/01/13;"Température réalisée (°C)";8,5
2015/01/14;"Température réalisée (°C)";7,73
2015/01/15;"Température réalisée (°C)";8,65
2015/01/16;"Température réalisée (°C)";6,92
2015/01/17;"Température réalisée (°C)";3,99
2015/01/18;"Température réalisée (°C)";2,85
2015/01/19;"Température réalisée (°C)";2,89
2015/01/20;"Température réalisée (°C)";1,89
2015/01/21;"Température réalisée (°C)";2,26
2015/01/22;"Température réalisée (°C)";2,01
