Date;Filière;Valeur (GW);Nature
2020/01/01;"Consommation brute";62,554623354167;Données Consolidées
2020/01/02;"Consommation brute";72,573317895833;Données Consolidées
2020/01/03;"Consommation brute";72,959833166667;Données Consolidées
2020/01/04;"Consommation brute";73,172156979167;Données Consolidées
2020/01/05;"Consommation brute";73,1372945;Données Consolidées
2020/01/06;"Consommation brute";72,911719916667;Données Consolidées
2020/01/07;"Consommation brute";67,8727070625;Données Consolidées
2020/01/08;"Consommation brute";65,8455901875;Données Consolidées
2020/01/09;"Consommation brute";72,585005395833;Données Consolidées
2020/01/10;"Consommation brute";72,916131083333;Données Consolidées
2020/01/11;"Consommation brute";73,072417395833;Données Consolidées
2020/01/12;"Consommation brute";72,992967416667;Données Consolidées
2020/01/13;"Consommation brute";72,714480333333;Données Consolidées
2020/01/14;"Consommation brute";67,631846645833;Données Consolidées
2020/01/15;"Consommation brute";65,565929770833;Données Consolidées
2020/01/16;"Consommation brute";72,391396041667;Données Consolidées
2020/01/17;"Consommation brute";74,417950541667;Données Consolidées
2020/01/18;"Consommation brute";74,656200833333;Données Consolidées
2020/01/19;"Consommation brute";73,842783979167;Données Consolidées
2020/01/20;"Consommation brute";72,794198083333;Données Consolidées
2020/01/21;"Consommation brute";67,90422725;Données Consolidées
2020/01/22;"Consommation brute";65,911957291667;Données Consolidées
2020/01/23;"Consommation brute";74,068941770833;Données Consolidées
2020/01/24;"Consommation brute";74,595700041667;Données Consolidées
2020/01/25;"Consommation brute";74,4580734375;Données Consolidées
2020/01/26;"Consommation brute";73,6326948125;Données Consolidées
2020/01/27;"Consommation brute";72,069699708333;Données Consolidées
2020/01/28;"Consommation brute";65,977884875;Données Consolidées
2020/01/29;"Consommation brute";63,1130488125;Données Consolidées
2020/01/30;"Consommation brute";71,006466416667;Données Consolidées
2020/01/31;"Consommation brute";72,8576801875;Données Consolidées
2020/02/01;"Consommation brute";72,381172333333;Données Consolidées
2020/02/02;"Consommation brute";72,304202979167;Données Consolidées
2020/02/03;"Consommation brute";70,625492541667;Données Consolidées
2020/02/04;"Consommation brute";65,6627883125;Données Consolidées
2020/02/05;"Consommation brute";63,9765630625;Données Consolidées
2020/02/06;"Consommation brute";71,301665666667;Données Consolidées
2020/02/07;"Consommation brute";72,4947081875;Données Consolidées
2020/02/08;"Consommation brute";71,960046541667;Données Consolidées
2020/02/09;"Consommation brute";71,663208604167;Données Consolidées
2020/02/10;"Consommation brute";70,40555325;Données Consolidées
2020/02/11;"Consommation brute";64,007968333333;Données Consolidées
2020/02/12;"Consommation brute";62,6121954375;Données Consolidées
2020/02/13;"Consommation brute";70,524011645833;Données Consolidées
2020/02/14;"Consommation brute";71,871016333333;Données Consolidées
2020/02/15;"Consommation brute";70,777717625;Données Consolidées
2020/02/16;"Consommation brute";71,200285791667;Données Consolidées
2020/02/17;"Consommation brute";69,434136958333;Données Consolidées
2020/02/18;"Consommation brute";63,5846635;Données Consolidées
2020/02/19;"Consommation brute";61,861220020833;Données Consolidées
2020/02/20;"Consommation brute";68,5378794375;Données Consolidées
2020/02/21;"Consommation brute";69,14834375;Données Consolidées
2020/02/22;"Consommation brute";68,80434375;Données Consolidées
2020/02/23;"Consommation brute";68,4254505625;Données Consolidées
2020/02/24;"Consommation brute";67,594619229167;Données Consolidées
2020/02/25;"Consommation brute";62,284680791667;Données Consolidées
2020/02/26;"Consommation brute";59,983910270833;Données Consolidées
2020/02/27;"Consommation brute";66,678950645833;Données Consolidées
2020/02/28;"Consommation brute";67,044051666667;Données Consolidées
2020/02/29;"Consommation brute";;Données provisoires
2020/03/01;"Consommation brute";68,381496020833;Données Consolidées
2020/03/02;"Consommation brute";68,7955195625;Données Consolidées
2020/03/03;"Consommation brute";67,447652145833;Données Consolidées
2020/03/04;"Consommation brute";61,359186416667;Données Consolidées
2020/03/05;"Consommation brute";59,392509145833;Données Consolidées
2020/03/06;"Consommation brute";66,342007833333;Données Consolidées
2020/03/07;"Consommation brute";67,238438979167;Données Consolidées
2020/03/08;"Consommation brute";66,6110045;Données Consolidées
2020/03/09;"Consommation brute";66,596498979167;Données Consolidées
2020/03/10;"Consommation brute";66,293174375;Données Consolidées
2020/03/11;"Consommation brute";60,31885125;Données Consolidées
2020/03/12;"Consommation brute";57,599495104167;Données Consolidées
2020/03/13;"Consommation brute";64,124471041667;Données Consolidées
2020/03/14;"Consommation brute";65,639342583333;Données Consolidées
2020/03/15;"Consommation brute";65,010311354167;Données Consolidées
2020/03/16;"Consommation brute";64,228723854167;Données Consolidées
2020/03/17;"Consommation brute";62,879626416667;Données Consolidées
2020/03/18;"Consommation brute";57,004779708333;Données Consolidées
2020/03/19;"Consommation brute";54,275506958333;Données Consolidées
2020/03/20;"Consommation brute";59,320717708333;Données Consolidées
2020/03/21;"Consommation brute";58,112154666667;Données Consolidées
2020/03/22;"Consommation brute";55,941885375;Données Consolidées
2020/03/23;"Consommation brute";54,607284979167;Données Consolidées
2020/03/24;"Consommation brute";53,467732020833;Données Consolidées
2020/03/25;"Consommation brute";49,92620525;Données Consolidées
