Périmètre	Nature	Date	Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Bioénergies	Ech. physiques	Taux de Co2	Ech. comm. Angleterre	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse	Ech. comm. Allemagne-Belgique	Fioul - TAC	Fioul - Cogén.	Fioul - Autres	Gaz - TAC	Gaz - Cogén.	Gaz - CCG	Gaz - Autres	Hydraulique - Fil de l?eau + éclusée	Hydraulique - Lacs	Hydraulique - STEP turbinage	Bioénergies - Déchets	Bioénergies - Biomasse	Bioénergies - Biogaz	 Stockage batterie	Déstockage batterie	Eolien terrestre	Eolien offshore	Consommation corrigée
France	Données définitives	2022-12-18	00:00	72510	70800	72000	85	1583	7703	40721	3752	0	8996	-268	1266	8749	77	-2242	2100	-1078	-1026	8186	0	73	15	120	1313	4954	1316	4937	2364	1695	489	446	331	0	0	3580	172	ND	
France	Données définitives	2022-12-18	00:15		70000	71600																																		ND	
France	Données définitives	2022-12-18	00:30	71629	69200	71200	85	1604	7993	40778	4081	0	10308	-221	1265	5811	76	-2242	2100	-1078	-1026	8326	0	73	15	119	1312	5245	1318	5175	3194	1939	487	446	331	0	0	3904	177	ND	
France	Données définitives	2022-12-18	00:45		68350	70100																																		ND	
France	Données définitives	2022-12-18	01:00	69526	67500	69000	85	1350	8170	40605	4403	0	8738	-49	1263	5032	75	-1934	2100	-417	-1201	7537	0	72	15	119	1313	5415	1322	5102	2623	1013	485	448	330	0	0	4247	156	ND	
France	Données définitives	2022-12-18	01:15		67850	69200																																		ND	
France	Données définitives	2022-12-18	01:30	69583	68200	69400	85	1295	7692	40657	4599	0	8562	-62	1258	5574	72	-1934	2100	-417	-1201	7911	0	72	15	120	1314	4936	1322	4985	2532	1045	484	442	331	0	0	4471	128	ND	
France	Données définitives	2022-12-18	01:45		68250	69600																																		ND	
France	Données définitives	2022-12-18	02:00	69517	68300	69800	85	1293	7452	40748	4745	0	8297	-68	1270	5774	71	-2406	2100	-718	-1251	8917	0	72	15	120	1313	4699	1320	4849	2606	843	493	446	330	0	0	4600	145	ND	
France	Données définitives	2022-12-18	02:15		67750	69250																																		ND	
