Périmètre	Nature	Date	Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Bioénergies	Ech. physiques	Taux de Co2	Ech. comm. Angleterre	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse	Ech. comm. Allemagne-Belgique	Fioul - TAC	Fioul - Cogén.	Fioul - Autres	Gaz - TAC	Gaz - Cogén.	Gaz - CCG	Gaz - Autres	Hydraulique - Fil de l?eau + éclusée	Hydraulique - Lacs	Hydraulique - STEP turbinage	Bioénergies - Déchets	Bioénergies - Biomasse	Bioénergies - Biogaz	 Stockage batterie	Déstockage batterie	Eolien terrestre	Eolien offshore	Consommation corrigée
France	Données définitives	2019-07-15	00:00	43616	43500	43000	98	21	2071	39246	4659	0	5677	-42	1104	-9217	21	-1802	-1200	-2767	-1493	-3418	16	73	5	0	385	1648	38	3644	1322	712	536	265	303	ND	ND	ND	ND	ND	
France	Données définitives	2019-07-15	00:15		42300	42100																														ND	ND			ND	
France	Données définitives	2019-07-15	00:30	41609	41100	41200	97	21	1780	39398	4698	0	5522	-41	1105	-10971	19	-1802	-1200	-2767	-1493	-3267	17	73	5	0	371	1371	38	3655	1165	702	538	265	302	ND	ND	ND	ND	ND	
France	Données définitives	2019-07-15	00:45		39950	40050																														ND	ND			ND	
France	Données définitives	2019-07-15	01:00	39065	38800	38900	97	21	1376	38892	4565	0	4678	-464	1102	-11201	17	-1703	-1200	-2767	-2147	-3796	16	73	5	0	371	966	40	3630	871	177	538	264	300	ND	ND	ND	ND	ND	
France	Données définitives	2019-07-15	01:15		39100	39000																														ND	ND			ND	
France	Données définitives	2019-07-15	01:30	38456	39400	39100	97	21	1359	39321	4447	0	4637	-464	1110	-12071	17	-1703	-1200	-2767	-2147	-3795	16	73	5	0	359	960	40	3490	906	241	545	265	300	ND	ND	ND	ND	ND	
France	Données définitives	2019-07-15	01:45		38900	38800																														ND	ND			ND	
France	Données définitives	2019-07-15	02:00	37773	38400	38500	97	21	1365	38860	4288	0	4255	-476	1106	-11742	17	-1703	-1050	-2767	-2346	-4115	15	73	5	0	359	966	40	3401	855	0	548	259	299	ND	ND	ND	ND	ND	
France	Données définitives	2019-07-15	02:15		37950	37800																														ND	ND			ND	
France	Données définitives	2019-07-15	02:30	37139	37500	37100	96	21	1342	39044	4037	0	4223	-621	1105	-12108	17	-1703	-1050	-2767	-2346	-4114	15	73	5	0	359	943	40	3326	897	0	541	264	301	ND	ND	ND	ND	ND	
France	Données définitives	2019-07-15	02:45		36800	36550																														ND	ND			ND	
France	Données définitives	2019-07-15	03:00	35788	36100	36000	97	20	1321	38768	3793	0	4085	-1390	1106	-12011	17	-1703	-1000	-2767	-2347	-4602	15	73	5	0	359	922	40	3285	800	0	540	265	301	ND	ND	ND	ND	ND	
France	Données définitives	2019-07-15	03:15		35800	35650																														ND	ND			ND	
France	Données définitives	2019-07-15	03:30	35235	35500	35300	97	20	1336	39204	3629	0	3761	-1606	1104	-12308	18	-1703	-1000	-2767	-2347	-4602	15	73	5	0	354	942	40	3160	600	0	544	263	298	ND	ND	ND	ND	ND	
France	Données définitives	2019-07-15	03:45		35350	35050																														ND	ND			ND	
France	Données définitives	2019-07-15	04:00	34641	35200	34800	96	20	1296	38777	3529	0	3569	-1606	1109	-12149	18	-1703	-1000	-2767	-2347	-4327	15	73	5	0	354	904	38	3111	459	0	547	264	298	ND	ND	ND	ND	ND	
France	Données définitives	2019-07-15	04:15		35350	35050																														ND	ND			ND	
France	Données définitives	2019-07-15	04:30	34903	35500	35300	95	16	1241	38999	3364	0	3424	-1592	1105	-11749	17	-1703	-1000	-2767	-2347	-4327	15	72	5	0	357	847	38	3071	353	0	548	260	297	ND	ND	ND	ND	ND	
France	Données définitives	2019-07-15	04:45		35900	35600																														ND	ND			ND	
France	Données définitives	2019-07-15	05:00	35462	36300	35900	96	14	1606	39439	3259	0	3448	-1595	1106	-11911	20	-1703	-1000	-2767	-2347	-2829	15	73	5	0	356	1213	37	3025	423	0	547	263	297	ND	ND	ND	ND	ND	
France	Données définitives	2019-07-15	05:15		37100	36450																														ND	ND			ND	
France	Données définitives	2019-07-15	05:30	36930	37900	37000	97	14	1681	39448	3211	0	3507	-1594	1104	-10539	20	-1703	-1000	-2767	-2347	-2947	15	73	5	0	363	1282	37	3051	453	3	544	263	297	ND	ND	ND	ND	ND	
France	Données définitives	2019-07-15	05:45		38500	37550																														ND	ND			ND	
France	Données définitives	2019-07-15	06:00	37878	39100	38100	98	16	1946	39998	3344	0	4032	-1592	1106	-11069	22	-1902	-1200	-2767	-2178	-1730	15	74	6	0	383	1525	38	3064	797	171	545	265	295	ND	ND	ND	ND	ND	
France	Données définitives	2019-07-15	06:15		39800	38700																														ND	ND			ND	
