Périmètre	Nature	Date	Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Bioénergies	Ech. physiques	Taux de Co2	Ech. comm. Angleterre	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse	Ech. comm. Allemagne-Belgique	Fioul - TAC	Fioul - Cogén.	Fioul - Autres	Gaz - TAC	Gaz - Cogén.	Gaz - CCG	Gaz - Autres	Hydraulique - Fil de l?eau + éclusée	Hydraulique - Lacs	Hydraulique - STEP turbinage	Bioénergies - Déchets	Bioénergies - Biomasse	Bioénergies - Biogaz	 Stockage batterie	Déstockage batterie	Eolien terrestre	Eolien offshore	Consommation corrigée
France	Données définitives	2023-12-18	00:00	62275	61300	61300	104	13	2253	47967	2407	0	10292	-178	1151	-1664	21	1505	-2612	-2692	-3125	5859	15	70	19	100	963	160	1031	6280	3269	743	430	373	347	0	0	2340	67	ND	
France	Données définitives	2023-12-18	00:15		60600	60700																																		ND	
France	Données définitives	2023-12-18	00:30	61467	59900	60100	103	14	2173	47904	2384	0	9274	-315	1151	-1142	21	1505	-2612	-2692	-3200	5556	15	69	19	96	965	96	1017	6035	2891	348	430	373	347	0	0	2314	70	ND	
France	Données définitives	2023-12-18	00:45		59050	59000																																		ND	
France	Données définitives	2023-12-18	01:00	59131	58200	57900	103	13	2164	47185	2528	0	8627	-909	1160	-1664	22	1461	-2796	-1809	-2814	5756	15	69	19	96	963	87	1018	5933	2499	195	432	380	346	0	0	2407	120	ND	
France	Données définitives	2023-12-18	01:15		58450	58350																																		ND	
France	Données définitives	2023-12-18	01:30	59427	58700	58800	105	13	2177	47203	2551	0	8509	-1586	1162	-635	22	1461	-2796	-1809	-2814	5660	15	71	19	96	963	92	1026	5889	2518	102	437	378	346	0	0	2431	120	ND	
France	Données définitives	2023-12-18	01:45		58800	58900																																		ND	
France	Données définitives	2023-12-18	02:00	59302	58900	59000	103	12	2197	47227	2500	0	8291	-1587	1166	-534	22	1280	-3006	-1520	-2582	5865	15	69	19	96	962	108	1031	5998	2237	56	440	379	346	0	0	2367	133	ND	
France	Données définitives	2023-12-18	02:15		58300	58600																																		ND	
France	Données définitives	2023-12-18	02:30	59440	57700	58200	103	12	2171	47229	2399	0	8577	-2169	1154	31	22	1280	-3006	-1520	-2582	5846	15	69	19	96	957	88	1029	6022	2454	102	432	379	343	0	0	2284	116	ND	
France	Données définitives	2023-12-18	02:45		57000	57450																																		ND	
France	Données définitives	2023-12-18	03:00	57976	56300	56700	103	11	2174	46895	2309	0	8233	-2489	1161	-353	23	1522	-3006	-2217	-2670	5893	15	69	19	96	956	93	1029	6034	2142	57	434	382	344	0	0	2173	135	ND	
France	Données définitives	2023-12-18	03:15		56000	56400																																		ND	
France	Données définitives	2023-12-18	03:30	57324	55700	56100	103	11	2166	46291	2137	0	8035	-2486	1166	-25	23	1522	-3006	-2217	-2670	5860	15	69	19	96	959	83	1029	6035	1994	5	436	386	343	0	0	1992	145	ND	
France	Données définitives	2023-12-18	03:45		55400	55750																																		ND	
France	Données définitives	2023-12-18	04:00	56602	55100	55400	105	12	2159	45795	2010	0	7904	-2069	1134	-373	23	1666	-2998	-3279	-3040	6491	15	71	19	96	956	78	1029	6040	1859	5	414	379	342	0	0	1849	161	ND	
France	Données définitives	2023-12-18	04:15		55250	55500																																		ND	
France	Données définitives	2023-12-18	04:30	56672	55400	55600	103	10	2194	46077	1970	0	8022	-2061	1138	-721	23	1666	-2998	-3279	-3040	6300	15	69	19	96	957	111	1030	6052	1965	5	415	382	341	0	0	1803	168	ND	
