Périmètre	Nature	Date	Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Bioénergies	Ech. physiques	Taux de Co2	Ech. comm. Angleterre	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse	Ech. comm. Allemagne-Belgique	Fioul - TAC	Fioul - Cogén.	Fioul - Autres	Gaz - TAC	Gaz - Cogén.	Gaz - CCG	Gaz - Autres	Hydraulique - Fil de l?eau + éclusée	Hydraulique - Lacs	Hydraulique - STEP turbinage	Bioénergies - Déchets	Bioénergies - Biomasse	Bioénergies - Biogaz	Consommation corrigée
France	Données définitives	2018-07-15	00:00	45127	45000	44900	83	438	2312	36424	2427	0	7206	-21	1115	-4856	32	-1901	-2300	-2244	817	379	13	60	3	0	350	1905	58	4277	2020	910	550	282	283	ND	
France	Données définitives	2018-07-15	00:15		43900	43700																														ND	
France	Données définitives	2018-07-15	00:30	42929	42800	42500	84	477	1311	36229	2371	0	7166	-115	1125	-5718	26	-1901	-2300	-2244	817	379	14	61	3	0	336	918	56	4192	1917	1058	561	282	282	ND	
France	Données définitives	2018-07-15	00:45		41600	41250																														ND	
France	Données définitives	2018-07-15	01:00	40093	40400	40000	85	317	1014	35476	2337	0	6342	-654	1129	-5953	22	-1752	-2300	-2244	656	-940	15	60	3	0	336	623	55	4118	1640	584	558	289	282	ND	
France	Données définitives	2018-07-15	01:15		40650	40200																														ND	
France	Données définitives	2018-07-15	01:30	39481	40900	40400	85	344	1062	35574	2299	0	6502	-658	1121	-6846	23	-1752	-2300	-2244	656	-940	15	60	3	0	338	668	57	3983	1937	582	556	284	281	ND	
France	Données définitives	2018-07-15	01:45		40600	40050																														ND	
France	Données définitives	2018-07-15	02:00	38515	40300	39700	85	308	1009	35323	2217	0	5965	-275	1129	-7244	22	-1752	-2300	-2244	-715	-966	15	60	3	0	335	621	54	3917	1629	419	562	287	280	ND	
France	Données définitives	2018-07-15	02:15		39200	38700																														ND	
France	Données définitives	2018-07-15	02:30	37749	38100	37700	84	345	1036	35696	2161	0	5973	-364	1130	-8312	23	-1752	-2300	-2244	-715	-947	14	60	4	0	317	666	53	3804	1635	534	556	292	282	ND	
France	Données définitives	2018-07-15	02:45		37200	36950																														ND	
France	Données définitives	2018-07-15	03:00	36115	36300	36200	83	333	1028	34859	2232	0	5638	-694	1132	-8496	23	-1703	-2300	-2244	-966	-2249	14	60	3	0	316	653	60	3772	1444	423	560	292	281	ND	
France	Données définitives	2018-07-15	03:15		35900	35750																														ND	
France	Données définitives	2018-07-15	03:30	35144	35500	35300	84	362	1053	35049	2302	0	5805	-1050	1138	-9598	24	-1703	-2300	-2244	-966	-2249	13	60	3	0	317	680	57	3744	1565	496	567	290	281	ND	
France	Données définitives	2018-07-15	03:45		35000	34800																														ND	
France	Données définitives	2018-07-15	04:00	34427	34500	34300	84	330	1024	35330	2319	0	5281	-1220	1157	-9879	24	-1654	-2300	-2244	-1111	-2238	14	59	3	0	320	645	60	3739	1130	412	583	293	281	ND	
France	Données définitives	2018-07-15	04:15		34350	34100																														ND	
France	Données définitives	2018-07-15	04:30	33840	34200	33900	83	369	906	35791	1992	0	4988	-1708	1158	-9739	24	-1654	-2300	-2244	-1111	-2183	13	60	3	0	313	534	58	3706	1000	283	583	296	280	ND	
France	Données définitives	2018-07-15	04:45		34000	33850																														ND	
France	Données définitives	2018-07-15	05:00	33685	33800	33800	83	366	912	35829	1712	0	4830	-1710	1156	-9492	24	-1604	-2300	-2244	-960	-2014	14	61	3	0	315	544	54	3594	936	299	585	293	278	ND	
France	Données définitives	2018-07-15	05:15		33800	33850																														ND	
France	Données définitives	2018-07-15	05:30	33756	33800	33900	81	388	950	35689	1577	0	5048	-2029	1144	-9090	25	-1604	-2300	-2244	-960	-1939	14	59	3	0	317	578	54	3594	1318	136	580	295	268	ND	
France	Données définitives	2018-07-15	05:45		33450	33600																														ND	
France	Données définitives	2018-07-15	06:00	33322	33100	33300	80	361	918	35108	1484	0	5369	-2033	1131	-9095	24	-1604	-2300	-2244	-921	-2866	13	59	3	0	317	547	55	3536	1307	525	576	296	259	ND	
France	Données définitives	2018-07-15	06:15		32800	33150																														ND	
France	Données définitives	2018-07-15	06:30	33011	32500	33000	80	350	907	35829	1365	14	5254	-2030	1117	-9876	24	-1604	-2300	-2244	-921	-2805	13	59	3	0	320	534	53	3564	1217	473	572	288	257	ND	
France	Données définitives	2018-07-15	06:45		32700	33250																														ND	
France	Données définitives	2018-07-15	07:00	33174	32900	33500	80	380	948	36135	1396	113	4957	-2023	1104	-9916	25	-1604	-2300	-2244	-478	-2636	13	59	3	0	316	573	59	3481	1345	130	566	283	255	ND	
France	Données définitives	2018-07-15	07:15		33350	33750																														ND	
